Carimbo de data/hora,Qual sua faixa etária?,Qual seu nível de escolaridade?,Qual sua renda familiar mensal?,A sua última viagem intermunicipal (entre municípios) foi:,A viagem foi realizada em qual período do dia?,Qual o motivo da viagem?,Qual o município de ORIGEM,Qual o município de DESTINO,Qual foi o principal meio de transporte que você usou?,Você precisou fazer alguma integração (trocar de meio de transporte)?,"Se SIM, quais meios de transporte você utilizou além do principal?",Quanto tempo durou a viagem?,Com que frequência você faz essa viagem?,"Na sua opinião, qual a principal melhoria necessária para a mobilidade na sua cidade? (Marque até 2 opções)",Gostaria de deixar algum comentário ou sugestão sobre sua experiência de mobilidade?," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Continuidade e ausência de obstáculos nas calçadas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Largura das calçadas para circulação de pedestres?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Condições do pavimento das calçadas (buracos, desníveis, aderência)?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença e qualidade das rampas de acessibilidade nas esquinas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença de sombra ao longo do percurso?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Integração da caminhada com outros modos de transporte?]"
2025/03/10 7:03:32 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 4 e 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Madrugada (00h - 5h),Visita a amigos/familiares,São Luís,Morros,Moto própria,NAO,Moto própria,Entre 1 e 2 horas,Muito raramente,Melhorar as condições das estradas e ruas,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Neutro,Muito insatisfeito(a)
2025/03/10 7:04:28 PM GMT-3,25 a 34 anos,Ensino Superior incompleto,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Noite (18h - 00h),Lazer,São Luís,Paço do Lumiar,Carro próprio,NAO,"Transporte por aplicativo (Uber, 99)",Entre 30 e 60 minutos,Muito raramente,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Neutro,Neutro,Neutro,Neutro,Neutro
2025/03/10 7:07:57 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Noite (18h - 00h),Lazer,São Luís,Icatu,Carro próprio,SIM,Carro próprio,Entre 1 e 2 horas,Muito raramente,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Neutro,Neutro
2025/03/10 7:09:05 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,Morros,Carro próprio,SIM,Carro próprio,Mais de 2 horas,Muito raramente,Diminuir o custo da passagem,,Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a)
2025/03/10 7:09:42 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Noite (18h - 00h),Estudo,ITAPECURU MIRIM,São Luís,Van ,NAO,A pé,Entre 1 e 2 horas,3 a 5 vezes por semana,Melhorar as condições das estradas e ruas,,Neutro,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Neutro
2025/03/10 7:10:34 PM GMT-3,25 a 34 anos,Ensino Superior incompleto,Acima de 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Visita a amigos/familiares,São Luís,São Mateus ,Carro próprio,SIM,Ônibus,Mais de 2 horas,3 a 5 vezes por semana,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/10 7:27:53 PM GMT-3,25 a 34 anos,Ensino Médio completo,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Visita a amigos/familiares,São Luís,Candido Mendes ,Ônibus,NAO,Ônibus,Mais de 2 horas,Muito raramente,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/12 10:01:54 AM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Visita a amigos/familiares,São Luís,Bacabeira,Ônibus,NAO,,Entre 30 e 60 minutos,1 a 3 vezes por mês,"Aumentar a frota e frequência dos ônibus;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/12 10:10:19 AM GMT-3,18 a 24 anos,Ensino Médio completo,Acima de 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Estudo,São Luís,Alcântara,Ferriboat,SIM,Táxi,Mais de 2 horas,1 a 3 vezes por mês,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/12 11:46:26 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Estudo,São José de Ribamar,São Luís,Ônibus,SIM,,Mais de 2 horas,Todos os dias,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público;Diminuir o custo da passagem,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
